# ( t [Myr] )  ( v_v^DD [km/s] )  ( theta_Sun^DD [deg] )  ( theta_Earth^DD [deg] )
2.3 7.4 103 31
43.5 7.2 109 4.4
89.8 6.8 109 22
138.8 6.9 111 27
182.8 7.4 102 2.1
224.0 7.2 109 29
270.5 6.8 108 15
319.5 6.9 112 11
363.0 7.4 101 29 
404.8 7.2 110 3.1
451.3 6.8 108 24
500.3 7.0 112 25
543.5 7.4 100 3
585.3 7.2 110 31
633.2 6.7 107 12.5
680.8 7.0 112 11.5
724.0 7.4 99 30.
765.8 7.2 111 0.3
813.0 6.7 107 24
861.5 7.0 112 25
904.5 7.4 98 6.6
946.3 7.1 111 29
993.8 6.7 107 12
